ChainName,Address,City,State,Zip,UsRegion,UsDivision,Status,RemodelType,OpenAtEstimated,ClosedAtEstimated,ExplainWindow,SuspectedHashChange
Bentley's Pet Stuff,"1855 29TH ST, 61196",Boulder,CO,80301,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"12393 W. 64TH AVE, 379295",Arvada,CO,80004,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"5091 KIPLING, 121497",Suite 300,WHEAT,80002,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"7705 WADSWORTH BLVD, 61198",Arvada,CO,80005,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"6688 WEST COAL MINE AVE, 114069",Littleton,CO,80128,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"2721 COUNCIL TREE AVE, #113, 61203",Fort Collins,CO,80525,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"2000 COUNTY LINE RD, 97612",Littleton,CO,80126,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"8501 EAST ARAPAHOE RD, SUITE B, 61195",Greewood Village,CO,80111,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"1155 S HAVANA ST., 61199",Aurora,CO,80012,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"13375 VOYAGER PKWY, 97614",Colorado Springs,CO,80234,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"13097 S. PARKER RD, 61200",Parker,CO,80134,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"4626 CENTERPLACE DRIVE, #142, 61202",Greeley,CO,80634,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"796 E. KIOWA AVE, 86802",Elizabeth,CO,80107,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"14909 W 119TH ST, 233422",Olathe,KS,66062,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"6555 W. 119TH ST., 330883",Overland Park,KS,66209,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"400 WATER ST, 61228",Excelsior,MN,55331,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"1115 VICKSBURG LN, 61234",Plymouth,MN,55447,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"8320B HWY 7, 61227",St. Louis Park,MN,55426,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"14020 SOUTH HWY 13 UNIT 250, 61229",Savage,MN,55372,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"7433 FRANCE AVE S., 61232",Edina,MN,55435,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"1439 WEST LAKE ST, 61231",Minneapolis,MN,55408,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"5315 LYNDALE AVE S, SUITE C2, 91946",Minneapolis,MN,55419,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"1051 PEARSON DR, 61251",Hudson,WI,54016,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
Bentley's Pet Stuff,"2285 HWY K, 61243",O'Fallon,MO,63368,,,OPEN,,2025-11-14,,First scrape 2017-07-26,False
