HashId,ChainId,ChainName,ParentChainId,ParentChainName,StoreName,StoreNumber,Address,Address2,City,State,PostalCode,Country,Latitude,Longitude,GeoAccuracy,PhoneNumber,status_norm,open_date,close_date,SiteId,Label,DistributorName,StoreType,us_locationcount_latest,ScrapeDate
566-97748366f11c4807abf97206d95e4240-2b475e20807060f188987d3b073b40e7,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff Alogonquin,205,1492 S. Randall Road,,Algonquin,IL,60102,United States,42.1545434,-88.3366237,G2S-ROOFTOP-A,(224) 241-8392,OPEN,2019-04-20,,,Bentley's Pet Stuff,,,29.0,2025-03-24
566-97b565474094bc6a3438cd1d4572e4c6-0379fefa0cb4b1f3dabd59046e127ff6,566,Bentley's Pet Stuff,,,CA| Protein for Pets Anaheim Hills,215,701 S. Weir Canyon Rd.,,Anaheim,CA,92808,United States,33.8622241,-117.7395719,G2S-ROOFTOP-A,(661) 425-6897,OPEN,2020-01-03,,2276.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-97b565474094bc6a3438cd1d4572e4c6-0379fefa0cb4b1f3dabd59046e127ff6,566,Bentley's Pet Stuff,,,CA| Protein for Pets Anaheim Hills,2,701 S. Weir Canyon Rd.,,Anaheim,CA,92808,United States,33.8622241,-117.7395719,G2S-ROOFTOP-A,(661) 425-6897,OPEN,2020-01-26,2022-08-12,2276.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-9860d79ede42f7f9f48e9598c06e9d2f-d0587cb0194709c170e18fc6add92cf5,566,Bentley's Pet Stuff,,,Protein For Pets,,701 South Weir Canyon Road,,Anaheim,CA,92808,United States,33.8621686,-117.739628,G2S-ROOFTOP-A,(714) 395-4158,OPEN,2023-04-22,,2276.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-e94a49da357d882e4766c8819f139a21-076be9c295b5c0363674e10bef6e93ac,566,Bentley's Pet Stuff,,,Green Paws - Bentleys Pet Stuff - Ann Arbor MI,211,211 N Maple Road,,Ann Arbor,MI,48103,United States,42.2835956,-83.781612,G2U-ROOFTOP,,OPEN,2019-04-20,,2619.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-e94a49da357d882e4766c8819f139a21-076be9c295b5c0363674e10bef6e93ac,566,Bentley's Pet Stuff,,,Green Paws - Bentleys Pet Stuff - Ann Arbor MI,,211 N Maple Road,,Ann Arbor,MI,48103,United States,42.2835956,-83.781612,G2U-ROOFTOP,,OPEN,2019-07-16,2023-04-22,2619.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-3e14660c0ebe2d4989aeba18c6bf0078-65e01a3a8379197880055363eb3bd089,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff,101,90 S. Evergreen Avenue,,Arlington Heights,IL,60005,United States,42.0811508,-87.9819593,G2S-ROOFTOP-A,(224) 735-2160,OPEN,2019-04-20,,,Bentley's Pet Stuff,,,29.0,2025-03-24
566-7e33d397ebe87843d693489098965c7a-b802a3cd9fd6b5736685261a80919de9,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff Arlington Heights,61206,12 S Dunton,,Arlington Heights,IL,60005,United States,42.0822484,-87.9830546,G2S-ROOFTOP-A,(224) 735-2160,OPEN,2017-04-27,,,Bentley's Pet Stuff,,,29.0,2025-03-24
566-7e33d397ebe87843d693489098965c7a-b802a3cd9fd6b5736685261a80919de9,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff Arlington Heights,61206,12 S Dunton,,Arlington Heights,IL,60005,United States,42.0822484,-87.9830546,G2S-ROOFTOP-A,(224) 735-2160,OPEN,,2019-07-16,,Bentley's Pet Stuff,,,29.0,2025-03-24
566-0729f218df01708f4ee02bf33bb6e7a9-e328b59b1fcd183b339fe2257f9dd8ce,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff,61198,"7705 Wadsworth Blvd, Unit F",,Arvada,CO,80003,United States,39.8356003,-105.0829907,G2U-ROOFTOP,(720) 639-6958,OPEN,2017-07-26,,20908.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-0729f218df01708f4ee02bf33bb6e7a9-e328b59b1fcd183b339fe2257f9dd8ce,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff,,"7705 Wadsworth Blvd, Unit F",,Arvada,CO,80003,United States,39.8356003,-105.0829907,G2U-ROOFTOP,(720) 639-6958,OPEN,,2025-03-24,20908.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-8770041901888a1f5aa3d03c7942eda9-e328b59b1fcd183b339fe2257f9dd8ce,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff Arvada Indian Tree,61198,7705 Wadsworth Blvd,,Arvada,CO,80005,United States,39.8363001,-105.083216,PREMISE: ROOFTOP,(720) 639-6958,OPEN,2017-04-27,,20908.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-8770041901888a1f5aa3d03c7942eda9-e328b59b1fcd183b339fe2257f9dd8ce,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff Arvada Indian Tree,61198,7705 Wadsworth Blvd,,Arvada,CO,80005,United States,39.8363001,-105.083216,PREMISE: ROOFTOP,(720) 639-6958,OPEN,,2018-01-26,20908.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-b2fbd196cb8e98c25d0d233dfb895122-20e272286785beff4fbbb10a16094514,566,Bentley's Pet Stuff,,,Pet Empawrium - A Bentley's Pet Stuff Company,379295,12393 W. 64Th Avenue,,Arvada,CO,80004,United States,39.8132493,-105.1368868,G2S-ROOFTOP-A,(303) 467-7777,OPEN,2017-04-27,,,Bentley's Pet Stuff,,,29.0,2025-03-24
566-b2fbd196cb8e98c25d0d233dfb895122-20e272286785beff4fbbb10a16094514,566,Bentley's Pet Stuff,,,Pet Empawrium - A Bentley's Pet Stuff Company,379295,12393 W. 64Th Avenue,,Arvada,CO,80004,United States,39.8132493,-105.1368868,G2S-ROOFTOP-A,(303) 467-7777,OPEN,,2019-07-16,,Bentley's Pet Stuff,,,29.0,2025-03-24
566-e0b7f3cdecdf3eafbf5eeba932c96897-3b9255409021eb68090edb79a3e9af3e,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff - Aurora,61199,1155 S Havana St.,,Aurora,CO,80012,United States,39.6953655,-104.8677796,ROOFTOP - AUTO,,OPEN,2017-04-27,,57991.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-e0b7f3cdecdf3eafbf5eeba932c96897-3b9255409021eb68090edb79a3e9af3e,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff - Aurora,61199,1155 S Havana St.,,Aurora,CO,80012,United States,39.6953655,-104.8677796,ROOFTOP - AUTO,,OPEN,,2018-01-26,57991.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-e0b7f3cdecdf3eafbf5eeba932c96897-94f2e29e09eb40841385ee862cf01cb1,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff - Aurora,61199,1155 S Havana St.,,Aurora,CO,80012,United States,39.6953655,-104.8677796,G2S-GEOMETRIC_CENTER-A,(720) 638-9245,OPEN,2017-07-26,,57991.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-e0b7f3cdecdf3eafbf5eeba932c96897-94f2e29e09eb40841385ee862cf01cb1,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff - Aurora,61199,1155 S Havana St.,,Aurora,CO,80012,United States,39.6953655,-104.8677796,G2S-GEOMETRIC_CENTER-A,(720) 638-9245,OPEN,,2019-07-16,57991.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-ffb4899bfc22adc1a1013f6a1bf01fe9-59d66f706dabab4a8a754ce18c311447,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff - IL | Bannockburn,61208,"1111 Half Day Rd, Unit 146",,Bannockburn,IL,60015,United States,42.1994335,-87.8593753,G2U-ROOFTOP,,OPEN,2017-04-27,,51689.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-ffb4899bfc22adc1a1013f6a1bf01fe9-59d66f706dabab4a8a754ce18c311447,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff - IL | Bannockburn,,"1111 Half Day Rd, Unit 146",,Bannockburn,IL,60015,United States,42.1994335,-87.8593753,G2U-ROOFTOP,,OPEN,,2023-05-24,51689.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-92ac71251ea9638289be67499d5db90c-f60092a57044dcf2d81917b55f28840d,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff,69505,1934 West Fabyan Parkway,,Batavia,IL,60510,United States,41.86386,-88.3380372,G2U-ROOFTOP,(630) 425-3454,OPEN,2017-04-27,,40660.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-92ac71251ea9638289be67499d5db90c-f60092a57044dcf2d81917b55f28840d,566,Bentley's Pet Stuff,,,Bentley's Pet Stuff,,1934 West Fabyan Parkway,,Batavia,IL,60510,United States,41.86386,-88.3380372,G2U-ROOFTOP,(630) 425-3454,OPEN,,2023-10-14,40660.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-2ad593111cc48a52b41127c49f6866ec-550c8ae4f49a591c496c2a04f5b03c41,566,Bentley's Pet Stuff,,,FL | All 4 Pets - Belle Isle Florida,70,5126 S. Conway Rd.,,Belle Isle,FL,32812,United States,28.4821657,-81.3322699,G2C-ROOFTOP-A,(407) 930-2666,OPEN,2021-12-21,,19358.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-2ad593111cc48a52b41127c49f6866ec-550c8ae4f49a591c496c2a04f5b03c41,566,Bentley's Pet Stuff,,,FL | All 4 Pets - Belle Isle Florida,70,5126 S. Conway Rd.,,Belle Isle,FL,32812,United States,28.4821657,-81.3322699,G2C-ROOFTOP-A,(407) 930-2666,OPEN,2022-01-14,2022-08-12,19358.0,Bentley's Pet Stuff,,,29.0,2025-03-24
566-6a4ae08af80b2f6b04018544b79f7793-7c7a3604027a83bb5bd481c991709b31,566,Bentley's Pet Stuff,,,FL| Munchies Natural Pet Belleair Bluffs Florida,61,2896 West Bay Drive,,Belleair Bluffs,FL,33770,United States,27.916447,-82.818255,G2S-ROOFTOP-A,(727) 581-1000,OPEN,2021-05-10,,,Bentley's Pet Stuff,,,29.0,2025-03-24
566-6a4ae08af80b2f6b04018544b79f7793-7c7a3604027a83bb5bd481c991709b31,566,Bentley's Pet Stuff,,,FL| Munchies Natural Pet Belleair Bluffs Florida,61,2896 West Bay Drive,,Belleair Bluffs,FL,33770,United States,27.916447,-82.818255,G2S-ROOFTOP-A,(727) 581-1000,OPEN,2021-06-28,2022-08-12,,Bentley's Pet Stuff,,,29.0,2025-03-24
566-92d20152b3747a49991e429718c80149-10d878bca76f1f52a8e82dd96eee1b97,566,Bentley's Pet Stuff,,,MT| Dee-O-Gee Billings Montana,64,"27 Shiloh Rd, Ste #1",,Billings,MT,59102,United States,45.7703054,-108.6168505,G2S-ROOFTOP-A,,OPEN,2021-05-10,,,Bentley's Pet Stuff,,,29.0,2025-03-24
